state,year,online_crime,number_of_cases,financial_losses_rm,number_of_victims,age_group,gender
Johor,2021,Telecommunication crime,646,22628755,,,
Johor,2022,Telecommunication crime,708,31099150.8,,,
Johor,2023,Telecommunication crime,1052,32688628.3,,,
Kedah,2021,Telecommunication crime,373,6572857.3,,,
Kedah,2022,Telecommunication crime,474,18784796.3,,,
Kedah,2023,Telecommunication crime,553,13862168.1,,,
Kelantan,2021,Telecommunication crime,131,3626626.4,,,
Kelantan,2022,Telecommunication crime,267,7309277.9,,,
Kelantan,2023,Telecommunication crime,323,15031876.4,,,
Melaka,2021,Telecommunication crime,269,7976575.3,,,
Melaka,2022,Telecommunication crime,381,13288346.2,,,
Melaka,2023,Telecommunication crime,367,9076636.9,,,
Negeri Sembilan,2021,Telecommunication crime,565,8757613.8,,,
Negeri Sembilan,2022,Telecommunication crime,883,18334998.5,,,
Negeri Sembilan,2023,Telecommunication crime,708,14104184.5,,,
Pahang,2021,Telecommunication crime,285,6677995.9,,,
Pahang,2022,Telecommunication crime,494,11539995.1,,,
Pahang,2023,Telecommunication crime,562,14468150.9,,,
Pulau Pinang,2021,Telecommunication crime,829,19010421.5,,,
Pulau Pinang,2022,Telecommunication crime,718,23679229.1,,,
Pulau Pinang,2023,Telecommunication crime,949,34731162.5,,,
Perak,2021,Telecommunication crime,432,13194619.1,,,
Perak,2022,Telecommunication crime,535,18606754.7,,,
Perak,2023,Telecommunication crime,733,23405392.6,,,
Perlis,2021,Telecommunication crime,77,1262194,,,
Perlis,2022,Telecommunication crime,110,2453566.4,,,
Perlis,2023,Telecommunication crime,139,1852617.6,,,
Selangor,2021,Telecommunication crime,820,47464687.3,,,
Selangor,2022,Telecommunication crime,799,75895678.5,,,
Selangor,2023,Telecommunication crime,1993,81747183.6,,,
Terengganu,2021,Telecommunication crime,188,2562454.8,,,
Terengganu,2022,Telecommunication crime,345,9220794.8,,,
Terengganu,2023,Telecommunication crime,357,9431414.4,,,
Sabah,2021,Telecommunication crime,281,7267482.8,,,
